plot,Douglas_Fir,Cedar,Hemlock,Alder,Balsam_Poplar
S1,1,1,1,1,0
S2,0,0,1,0,0
S3,0,1,0,0,0
S4,2,0,1,0,0
S5,0,2,4,0,0
R1,4,0,0,9,0
R2,1,1,3,11,0
R3,4,1,2,5,0
R4,0,0,0,4,1
R5,2,0,0,9,0
O1,0,1,3,0,0
O2,0,1,2,0,0
O3,0,0,2,0,0
O4,0,0,2,0,0
O5,0,1,0,0,0
